ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
411,2016,GF,HSF,YWCA,Children's Alley,,70000,65000,63818
472,2013,GF,YOP,I Have A Dream Foundation of Boulder County,Community Café Series,,15000,0,0
1346,2004,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,10000,9190
783,2013,GF,YOP,Boulder Judo Training Center,The Aim Higher Project,,14750,14750,13785
447,2015,GF,CIF,Veterans Helping Veterans Now,Veterans Talk Series,,1500,1500,1448
646,2013,GF,HSF,Attention Homes,Runaway and Homeless Youth,,,30000,27827
1562,2003,GF,HSF,Boulder Valley School District,Teen Parent Program,,,18486,17362
1572,2007,GF,HSF,Parenting Place,Family Strengthening Program,,,8822,8654
1361,2004,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,86888,81238
1306,2003,GF,HSF,Mental Health Partners,Community Infant Program,,,61069,58250
54,2019,HEF,HEF,YMCA,YMCA Weight Loss Program,"Funding will be used for small-group weight loss programs for low-income, adult city residents.",89460,45000,41852
532,2015,GF,HSF,Boulder Valley School District,Teen Parent Program,,,15000,14587
131,2019,HEF,HEF,Boulder Parks and Recreation,Mobile Youth and Family Services Initiative,"Funding will provide certified physical fitness trainers and mentors to low-income city youth, in the neighborhoods where they live, learn and play.",418457,200000,189361
72,2018,GF,HRF,Creekside Parent Organization,Kindness March,,2950,1700,1627
1040,2008,GF,YOP,Casey Middle School,Community Leadership:  A Process Approach,,14970.6,0,0
1223,2005,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,34307,34113
586,2012,GF,HSF,Community Food Share,Food Procurement and Distribution,,,5000,4898
431,2016,GF,YOP,Out Boulder County,Out Youth Program,"Offer leadership development and community building through funding staff and supplies for art and activism and community events for lesbian, gay, bisexual, transgender, queer and allied youth.",8290,8290,7869
1443,2002,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,34421,33521
1665,1995,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,178179,168490
541,2014,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,20000,19550
1365,2002,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,66056,63707
1509,2004,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,27066,24860
1696,1994,GF,HSF,Boulder County Legal Services,Boulder County Sexual Abuse Team,,,1500,1456
1109,2009,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,20500,19086
1464,2006,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,,,350000,338766
1738,2000,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,21774,21104
1525,2003,GF,HSF,Attention Homes,Broadway Youth Shelter,,,20000,19751
1078,2008,GF,YOP,Family Learning Center,Ignite Your Potential,,12000,0,0
1320,2002,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,29642,28809
4,2019,GF,HSF,Boulder County Care Connect,Safety Net and Community Outreach Services,"Food, healthcare, safety, and home improvement services for seniors and people with disabilities",37060,25000,23798
424,2016,GF,YOP,Boulder Valley Women's Health Center,Sexual Health and AIDS Awareness Peer Education (SHAPE) Program,"Provide educators, supplies and retreat costs to train youth to educate their peers to reduce their risk of sexually transmitted diseases or unwanted pregnancies.",9174,9174,8634
299,2017,GF,HSF,YWCA,Children's Alley,,0,65000,64367
625,2013,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,30000,27133
1248,2005,GF,HSF,Clinica Campesina Family Health Care Services,Newborn Home Visits Program,,,10653,9685
774,2015,GF,HSF,Veterans Helping Veterans Now,Outreach and Support,,,15000,14072
810,2010,GF,YOP,Boulder Valley Cycling Alliance and Trips for Kids Boulder,"School Bike Clubs, Middle Cross and Mountain Bike Ride Programs",,6900,0,0
473,2015,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,19000,17284
1414,2001,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,13524,12525
1010,2008,GF,YOP,Boulder Pride,LGBTQ Youth Filmmaking Project,,8522,8522,8231
1177,2009,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,53000,50257
1806,1999,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,5000,4990
487,2015,GF,YOP,Cal-Wood Education Center,Teen Adventure Program,"Support transportation, staff and supply costs for Latino middle and high school students to attend Calwood on BVSD days off to learn about outdoors, STEM fields and do community service.",7500,,0
1295,2001,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,155219,141694
336,2017,GF,HOM,Bridge House,Path to Home Navigation,"Summer sheltering, navigation and financial assistance for adults experiencing homelessness",0,91407,89205
780,2013,GF,YOP,Boulder County Partners,One-To-One Mentoring,,15000,0,0
954,2008,GF,HSF,Boulder Valley School District,Casey Middle: Community Learning Center,,,22000,19977
335,2017,GF,HOM,Bridge House,Path to Home Navigation,"Winter rental expenses, sheltering, navigation and financial assistance for adults experiencing homelessness",0,877303,848901
243,2018,GF,MLK,Peers Building Justice Program (PBJ),TBD by youth involved in planning,,1000,500,491
1098,2009,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14675,0,0
481,2014,GF,HSF,Dental Aid,Children and Youth Oral Health,,,25000,24953
1510,2004,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,103370,103292
559,2013,GF,YOP,YWCA,Latina Achievement Support (formerly Puente),,15000,0,0
1508,2004,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,28108,25426
194,2017,HEF,HEF,YWCA,Children's Alley,"Funding will be used to enhance the wellness and nutrition components of current programming, including an increase in staff hours for nutrition and wellness coordinators who prepare healthy meals and provide exercise and wellness activities for the students. Funding will be used to take students on field trips to local farms to learn about food production paired with produce and recipes for healthy meals.",48202,48202,47775
1861,1998,GF,HSF,YWCA,Children's Alley,,,55000,50948
508,2013,GF,CEF,Boulder Asian Pacific Alliance (BAPA),Annual Boulder Asian Festival,,1600,1600,1523
1281,2001,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,19467,18659
871,2011,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,11762,11083
1839,1999,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,27020,26060
1744,2000,GF,HSF,BV Women's Health Center,Youth Program,,,15450,15141
350,2017,GF,HRF,Congregation Nevei Kodesh,Lemon Tree Group Walk for Unity,,1070,1000,937
600,2012,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,99213,97393
1355,2002,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,54823,49390
1158,2011,GF,YOP,Out Boulder County,BOLD (Boulder OUT Leadership Development),,12500,12500,12201
1020,2008,GF,YOP,Boulder Youth Body Alliance,BYBA Peer Education Program,,4612.85,4613,4222
1598,2003,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,30224,29071
62,2018,GF,HOM,Emergency Family Assistance Association,Keep Families Housed,Rental support and preventative services for families at risk of homelessness,0,263000,246889
859,2012,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,12725,12725,12592
272,2017,GF,HSF,Boulder Day Nursery,Early Learning Program,,0,65000,59870
1697,1994,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,10500,9505
890,2010,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,43432,39345
284,2017,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,,0,290000,272686
1857,1999,GF,HSF,Mental Health Partners,MESA Prevention Education,,,29794,27947
659,2013,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,15000,13550
1917,1997,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,20500,18605
1381,2001,GF,HSF,Community Action Development Corporation,Parent Leadership Training,,,7069,6824
1567,2001,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,7500,7470
1086,2009,GF,YOP,Medicine Horse Program,Equus Integration Program,,15000,0,0
1873,1997,GF,HSF,Attention Homes,Community Based Services,,,15000,14810
1301,2003,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,15000,13535
1547,2003,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,24196,22677
1523,2007,GF,HSF,Dental Aid,Children and Youth Oral Health,,,29406,28612
1080,2009,GF,YOP,Justice High School,Phoenix Rising,,15000,0,0
1339,2002,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,12320,11535
1867,1997,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,12500,12073
298,2017,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,0,95000,89264
422,2016,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,"Facilitate the positive development of low-income youth by connecting them to experiences that will empower them to make positive choices for healthy lifestyle. Provide funds for access to outdoor recreation opportunities such as skiing, camping and sailing.",14895,7448,6930
1253,2005,GF,HSF,Dental Aid,Children and Youth Oral Health,,,29406,27328
1568,2001,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,22850,22383
364,2016,GF,HSF,Agape Family Services,Emergency Homeless Shelter (Warming Center),,10000,0,0
419,2016,GF,YOP,Boulder High School,"Sí, se puede!",Provide staffing and test fees for college preparation and college application support for juniors and seniors at Boulder High School who are first generation college students.,12590,12590,12516
619,2015,GF,YOP,Parlando School For The Arts,Music Education Accessibility Project,"Train high school students to teach music to students on tuition assistance, provide tuition assistance and advanced instruction at Boulder High School and Casey Middle School band students by subsidizing the cost of professional instructors.",11505,0,0
919,2010,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,75000,72435
1800,1998,GF,HSF,Mental Health Partners,Multicultural Consultation Program,,,18800,16963
622,2013,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,,,25000,22563
1247,2005,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,21864,19992
346,2017,GF,HRF,Boulder School for German Language and Culture,May Fest,,900,400,394
1931,1997,GF,HSF,United Black Women of Boulder Valley,Institute for African American Leadership,,,18000,17763
767,2013,GF,HSF,YWCA,Children's Alley,,,68750,63900
608,2012,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,38070,36259
1764,2000,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,17425,16011
1205,2004,GF,HSF,Dental Aid,Adult Assured Access,,,40866,38789
1232,2005,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,11762,11011
480,2015,GF,HSF,Boulder County Public Health,Genesis,,,40000,39813
271,2017,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,0,25000,24472
855,2009,GF,YOP,Boulder High School,"Sí, se puede!",,7564.64,7565,7464
1925,1997,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,22500,20747
1272,2004,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,6736,6567
851,2009,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,19136,18744
1807,1996,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,75000,72694
613,2012,GF,MLK,Peers Building Justice Program (PBJ),MESA,,2000,2000,1907
1174,2009,GF,HSF,Dental Aid,Adult Assured Access,,,66000,60044
1866,1997,GF,HSF,Mental Health Partners,Multicultural Consultation Program,,,18800,18416
1767,2000,GF,HSF,Kids Connections (InterACT),TransACT Cultural Connections,,,10300,9467
668,2013,GF,HSF,Children First of the Rockies,SAFE Services,,,7216,6892
544,2013,GF,HSF,El Centro Amistad,El Centro Amistad,,,17638,16168
1171,2009,GF,HSF,Clinica Campesina Family Health Care Services,Primary Health Care for Low-Income,,,350000,349896
1851,1999,GF,HSF,Kellogg Child Development Center,Scholarship Program,,,30750,28489
100,2018,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,Comprehensive primary health care with access to integrated behavioral health and dental care,350000,310000,295816
912,2008,GF,HSF,YWCA,Children's Alley,,,68750,67376
1116,2008,GF,YOP,YWCA,The Puente (Bridge) Program,,15000,0,0
1483,2007,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,120761,118368
1779,2000,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,47895,43305
1530,2007,GF,HSF,Emergency Family Assistance Association,Shelter,,,51760,48748
1691,1995,GF,HSF,YWCA,Planning grant,,,7150,6835
1261,2005,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,55872,53104
1446,2002,GF,HSF,Parenting Place,Family Strengthening Program,,,10000,9033
595,2012,GF,HSF,FOCUS Reentry,FOCUS Re-entry,,,5000,4569
1846,1999,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8000,7551
1954,1996,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,50485,47383
436,2015,GF,CEF,Boulder Museum of Contemporary Art,Spanish Translation,,1500,750,697
1126,2007,GF,HSF,Attention Homes,Broadway Youth Shelter,,,19604,18211
1082,2011,GF,HSF,Boulder Valley School District,Casey Middle: Community Learning Center,,,22000,20116
1944,1996,GF,HSF,Boulder County Legal Services,Boulder County Sexual Abuse Team,,,7500,7069
1624,1998,GF,HSF,Boulder County Public Health,Genesis,,,102000,94994
1706,1998,GF,HSF,Kellogg Child Development Center,Scholarship Program,,,30000,28741
1447,2004,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,22528,22328
1841,1999,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,98349,97134
965,2011,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,60000,57956
321,2018,HEF,HEF,Dental Aid,Reducing Children's Sugary Drink Consumption,"Funding will be used to provide additional dental services for children ages three to 12 beyond what is covered by Medicaid or to pay for uninsured patients with the goal of reducing tooth decay and severity of decay. Additional funding will be used to support staff time to develop risk assessment tools, department protocols and patient audits.",98482,98482,93667
1514,2007,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,,,350000,315698
444,2015,GF,CIF,Intercambio de Comunidades,Child Care during English language classes,,7000,5672,5415
1133,2007,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,14598,13895
1395,2001,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,17948,17503
1376,2007,GF,HSF,Bridge House,Basic Needs,,,9000,8686
168,2017,GF,YOP,Community Cycles,Young Bike Mechanics Internship Program,Funding to start a program to teach middle school students how to repair bikes and connect bike repair with employment and STEM skills. Requested funding for personnel and materials,10000,0,0
219,2018,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,Legal services w/focus on immigration & citizenship,23000,23000,22455
1680,1995,GF,HSF,Mental Health Partners,Multicultural Consultation Program,,,20000,18600
1384,2004,GF,HSF,Mental Health Partners,MESA Prevention Education,,,11000,10753
606,2012,GF,HSF,Parenting Place,Family Strengthening Program,,,5000,4991
723,2014,GF,YOP,Boulder Philharmonic Orchestra,Symphony Schools: Boulder Phil Music Outreach and Education Program,Host opportunities for youth involved in school music education programs to learn from professional musicians.,15000,0,0
1335,2002,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,77736,71447
449,2015,GF,CoIH,Boulder Latino Family Project,Exhibit Discrimination against Mexican in the Southwest,,1500,1150,1136
326,2018,HEF,HEF,Human Services (Senior Services),Fitness Scholarships,"Funding will be used to provide 13 scholarships to older adults to participate in SilverSneakers or Silver & Fit classes, who are either not Medicare beneficiaries or do not have an Advantage Plan that supports the programming. Scholarships would also be available to residents with lower incomes who have a harder time affording registered classes that support core strength and balance.",4928,4928,4558
585,2012,GF,HSF,Community Action Development Corporation,Circles Campaign,,,5000,4925
612,2012,GF,HSF,YWCA,Children's Alley,,,68750,67163
1497,2004,GF,HSF,Bridge House,Basic Needs,,,5000,4871
711,2015,GF,HSF,FOCUS Reentry,FOCUS Re-entry,Recruitment & training of new mentors,,5000,4710
713,2013,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,60000,59516
1463,2006,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,157135,144102
553,2013,GF,YOP,YWCA,Latina Achievement Support (formerly Puente),Supporting Latina girls entering and during high school.,15000,0,0
1303,2003,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,10000,9251
1645,1998,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,25250,23480
750,2014,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,19000,18950
678,2012,GF,CIF,Boulder History Museum,Chief Niwot - Legend and Legacy Exhibition,,10000,2000,1855
572,2013,GF,CIF,Boulder Museum of Contemporary Art,Healing After the Flood - A Public Art Project,,5000,5000,4682
1899,1997,GF,HSF,Boulder Art for Social Transformational Action,New Artists' Center,,,15000,14817
674,2014,GF,YOP,Arapahoe Ridge High School,REAL,To support student leadership and positive youth-adult relationships through the implementation of a Positive Behavioral Intervention Support program.,9788.86,9000,8413
1452,2006,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,27720,26341
77,2018,GF,HRF,Right Relationship Boulder,Welcome the Arapaho People Home Phase I,,4650,2700,2446
1693,1994,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,9500,8906
1364,2006,GF,HSF,Access Counseling (formerly The Counseling Center),Safe Exchange Program,,,7216,7042
841,2010,GF,YOP,Studio Arts Boulder/Growing Up Boulder,Goose Creek Trail Pedestrial Underpass Mural Project,,15000,0,0
1392,2001,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,51179,49431
729,2014,GF,YOP,I Have A Dream Foundation of Boulder County,Dreamer Council and Expanding the Dream,Support youth leaders at Casey Middle School in the Dreamer Council and provide college preparation workshops and tours to all students at Casey Middle School.,15000,0,0
176,2017,HEF,HEF,Boulder Parks and Recreation,BPR Financial Aid Enhancement,"Funding will be used to increase financial aid from 50% coverage for annual memberships to 100% coverage for individuals and families living in Boulder Housing Partners (BHP) low income housing program (~900 households) and implement a targeted outreach and awareness campaign to ensure all eligible residents are informed about the program and feel welcomed into all recreation centers and programs. Outreach will include general awareness of the program and a ‘welcome program’ specific to first time users. Financial aid will be provided for qualified Boulder residents for discount on classes, programs, and daily, annual or punch-pass admission to recreation facilities.",259275,143600,137267
843,2010,GF,YOP,Wildlands Restoration Volunteers,Youth Stewardship Program,"Support the Youth Steering Committee, High School Crew Leader Training and projects involving youth in outdoor stewardship and restoration.",12006,4000,3966
1502,2004,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,20223,19305
895,2010,GF,HSF,Boulder Valley School District,Casey Middle: Community Learning Center,,,22000,21099
1089,2009,GF,YOP,"Mountain Summers, Inc.",Scholarships for Youth With Promise,,15000,0,0
665,2013,GF,HSF,Center for People with Disabilities (CPWD),Advocacy Program,,,5000,4762
34,2019,GF,HSF,Foothills United Way (FHUW),Cultural Broker Network Design,Create a formal structure where government and Latinx residents can communicate in a culturally appropriate way,26650,,0
592,2012,GF,HSF,Emergency Family Assistance Association,Shelter,,,53750,48971
776,2015,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4512
192,2017,HEF,HEF,SOS Cooking Matters,Nutrition and Education,"Funding will provide a seven-week food skills and nutrition education class for caregivers, one-time farmer’s market tours for any low-income individual and ongoing Cooking Matters App outreach for all.",14547,0,0
417,2013,GF,YOP,EcoArts Connections,"Stories for a New Future, Part 2 (SNF2)",,15000,8500,7888
1740,2000,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,5150,4719
1554,2001,GF,HSF,Boulder County Public Health,Genesis,,,134815,129635
70,2018,GF,HRF,Bridge House,Art Therapy Groups and Art Show,,2000,1500,1460
39,2019,GF,HSF,Intercambio de Comunidades,Uniting Communities,English language acquisition and life skills for immigrant adults,23250,23250,22989
330,2018,HEF,HEF,YMCA,Heathly Weight and Your Child,"Funding will be used to provide the Healthy Weight and Your Child Course, a family-based weight management intervention to address childhood obesity, for 60 Boulder youth residents and their families. Additional funds will be used for program staff, purchase of exercise equipment, participant incentives and marketing materials.",68779,68779,66030
484,2014,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,26295,25958
593,2012,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,52273
1045,2008,GF,YOP,Dialogues on Immigrant Integration,Immigrant Integration and Community….,,7714.37,0,0
540,2015,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14742,14742,13491
1559,2003,GF,HSF,Boulder Valley School District,Casey Middle: Centro de Aprendizaje,,,20000,19399
1932,1997,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,7400,7032
248,2018,GF,YOP,Boulder Museum of Contemporary Art,The Studio Project and Art Lounge Program,Engage and connect middle and high school youth with contemporary art and visiting artists through leadership development and youth events.,11581,11581,10626
254,2018,GF,YOP,Impact on Education,Music Carries the Message,"15 City of Boulder youth will receive scholarships for music education at Dana V. Music, a music school in Louisville",15000,0,0
220,2018,GF,HSF,Intercambio de Comunidades,Uniting Communities,English language acquisition and life skills for immigrant adults,22000,22000,19998
599,2012,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,11280,11154
1815,1996,GF,HSF,Mental Health Partners,Community Infant Program,,,54000,51501
1479,2004,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,5000,4779
1793,1997,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8000,7272
589,2012,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,4500,4288
1882,1995,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,18000,16291
1054,2009,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,16000,14878
1503,2004,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,123200,119690
1146,2011,GF,YOP,Boulder Youth Body Alliance,Peer Education Program,"Training and Presentations related to eating disorder prevention, body image issues.",7803,7803,7036
1136,2007,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,26995,25940
1875,1996,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,40000,37249
441,2015,GF,CEF,Sigma Psi Zeta,Culture Shock,,1500,500,473
732,2014,GF,CEF,Out Boulder County,Boulder Pridefest,,1600,1600,1548
760,2014,GF,HSF,Boulder Shelter for the Homeless,Transition Program,,,28000,27683
1004,2008,GF,HSF,Parenting Place,Family Strengthening Program,,,5000,4765
83,2018,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case management, testing & counseling, health insurance access, housing & food",72000,40000,37561
379,2016,GF,HSF,Boulder Pride,Out Boulder,,10000,0,0
1172,2009,GF,HSF,Community Food Share,Food Procurement and Distribution,,,10000,9816
1081,2008,GF,YOP,"Frequent Flyers Productions, Inc.",Kids Who Fly,,6421,4240,3939
1438,2004,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,18234,16948
1274,2001,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,11961,11782
979,2008,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,20500,19506
1298,2003,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,49341,47829
854,2008,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,21108,19050
1,2019,GF,HSF,Alternatives For Youth,iTHRIVE,"Early intervention for teens starting to use &/or abuse alcohol/drugs & parent support through counseling, pro-social activities & presentations",38500,0,0
1371,2004,GF,HSF,Mental Health Partners,Community Infant Program,,,61069,56241
1490,2004,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,5000,4558
205,2016,GF,CEF,Postoley Dance Ensemble,Folk Dancing on the Plaza,,1500,1500,1465
143,2019,HEF,HEF,Community Cycles,"Healthy, Active Transportation for Children and Families: From Home to School","Funding will provide bicycles, safety gear, repair services and equipment, and other biking services for low-income city youth and families living at four Boulder Housing Partners neighborhoods and nearby schools.",85000,60000,55449
1001,2008,GF,HSF,Mental Health Partners,MESA Prevention Education,,,28426,26307
673,2012,GF,CIF,Barrio E,World Drum Jam,,5000,1830,1687
791,2013,GF,YOP,Colorado Film Society,Boulder International Film Festival's Youth Pavilion,,4940,4940,4618
1257,2002,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,15210,15092
1512,2007,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,157135,148032
310,2018,HEF,HEF,Boulder County Public Health,Maternal Child Coordinated Service System,"Funding will be used to design and begin implementation of a new social service referral system, to more efficiently and effectively provide health-related services to low-income City of Boulder families. The system will include development of a universal screening tool and coordinated entry system (CES) for use by home visitation programs, health care providers, schools, housing partners and other service agencies.",168629,56000,54389
1517,2007,GF,HSF,Community Food Share,Food Procurement and Distribution,,,10000,9164
1487,2007,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,215363,214696
1418,2000,GF,HSF,Attention Homes,Residential Homes,,,24360,23734
1736,2000,GF,HSF,Boulder Day Nursery,Infant Early Learning Program,,,21774,20205
1543,2007,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,11797,11687
23,2019,GF,HSF,Community Food Share,Food Procurement and Distribution,"Food procurement, direct distribution to agencies, individuals & families",15000,10000,9155
920,2008,GF,YOP,"Boulder Baseball, Inc.",Platt Middle School Field Renovation,,15000,0,0
1600,2003,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,111151,105663
1884,1995,GF,HSF,Attention Homes,Residential Homes,,,20000,19103
333,2017,GF,CoIH,Motus Theater,Public Art Presentation,,1500,1500,1449
825,2010,GF,YOP,I Have A Dream Foundation of Boulder County,Leading Through Service Program,,7920,7920,7810
445,2015,GF,CIF,Intercambio de Comunidades,Cross Cultural Training,,8500,1800,1777
145,2019,HEF,HEF,Community Food Share,Food Procurement and Food Distribution Program,"Funding will provide food, comprised primarily of fresh produce, healthy dairy and protein items, to low-income city residents.",81500,81500,77403
1887,1995,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,30827,28988
1179,2009,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,55568
247,2018,GF,YOP,Attention Homes,Runaway and Homeless Youth Educational Opportunities Program,Attention Homes will provide educuational and recreational opportunities for homeless and at-risk youth,15000,14258,13445
225,2018,GF,HSF,Rocky Mountain Legal Center,Rocky Mountain Legal Center,"Provide free and low-cost civil legal representation for low-income families, single parents and seniors",10000,0,0
1669,1995,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,20000,18268
616,2012,GF,YOP,Boulder High School,"Sí, se puede!",,7634,7863,7553
453,2015,GF,HSF,Alternatives For Youth,iTHRIVE,,,10000,9513
